ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-06-12,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 12/06/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-04-25,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 25/04/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-05-22,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 22/05/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-06-20,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/06/2025)
จ่ายโบนัสพนักงาน Paper Group (ผลประกอบการปี 2567)/เงินรางวัลอายุงาน,งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-04-10,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 10/4/2025)
LeKise Family Day : ทุนการศึกษา,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HR Team,2026-05-28,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 28/05/2025)
สรุปปรับเลื่อนระดับพนักงาน ประจำปี (LKL LKS LKT LKD TRC),งานประจำเดือน,อื่นๆ,รอดำเนินการ,HROD,2026-06-25,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 25/06/2025)
สรุปรายชื่อพนักงานเกษียณอายุงาน 2025,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-05-30,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 30/5/2025)
เกษียณอายุงานประจำปี 2025,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-06-20,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/6/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-04-24,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 24/04/2025)
สรุปปรับฐานค่าจ้างตามผลการทำงานประจำปี 2025 (LKG),งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-06-20,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/6/2025)
อบรมดับเพลิงขั้นต้น และการฝึกซ้อมอพยพหนีไฟ (Basic Fire Fighting),อบรมภายใน,อบรม,รอดำเนินการ,HROD,2026-04-03,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 03/04/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-05-22,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 22/05/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-06-26,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 26/06/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-04-03,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 03/04/2025)
